learning_rate,number_neurons,number_epochs,error_rate
0.1,10,10,0.71667
0.1,20,10,0.32667
0.1,30,10,0.30667
0.1,40,10,0.31
0.1,50,10,0.27333
0.1,60,10,0.27333
0.1,70,10,0.26667
0.1,80,10,0.27333
0.1,90,10,0.27
0.1,100,10,0.27
0.2,10,10,0.37667
0.2,20,10,0.27
0.2,30,10,0.28667
0.2,40,10,0.27667
0.2,50,10,0.24667
0.2,60,10,0.25333
0.2,70,10,0.25667
0.2,80,10,0.25
0.2,90,10,0.26667
0.2,100,10,0.26667
0.3,10,10,0.37667
0.3,20,10,0.25
0.3,30,10,0.26
0.3,40,10,0.24333
0.3,50,10,0.23667
0.3,60,10,0.23
0.3,70,10,0.25333
0.3,80,10,0.25
0.3,90,10,0.25
0.3,100,10,0.23333
0.4,10,10,0.36
0.4,20,10,0.29333
0.4,30,10,0.25
0.4,40,10,0.23667
0.4,50,10,0.21333
0.4,60,10,0.23333
0.4,70,10,0.24
0.4,80,10,0.25333
0.4,90,10,0.24333
0.4,100,10,0.23333
0.5,10,10,0.39
0.5,20,10,0.29
0.5,30,10,0.30667
0.5,40,10,0.27333
0.5,50,10,0.23333
0.5,60,10,0.25333
0.5,70,10,0.22
0.5,80,10,0.23667
0.5,90,10,0.26333
0.5,100,10,0.25
0.6,10,10,0.46667
0.6,20,10,0.33333
0.6,30,10,0.30667
0.6,40,10,0.29
0.6,50,10,0.30
0.6,60,10,0.29
0.6,70,10,0.28
0.6,80,10,0.26667
0.6,90,10,0.25333
0.6,100,10,0.28333
0.7,10,10,0.40
0.7,20,10,0.36
0.7,30,10,0.40
0.7,40,10,0.38667
0.7,50,10,0.33
0.7,60,10,0.35
0.7,70,10,0.31
0.7,80,10,0.29
0.7,90,10,0.32667
0.7,100,10,0.34
0.8,10,10,0.46
0.8,20,10,0.45333
0.8,30,10,0.42333
0.8,40,10,0.38
0.8,50,10,0.38333
0.8,60,10,0.40
0.8,70,10,0.40667
0.8,80,10,0.39667
0.8,90,10,0.33
0.8,100,10,0.39
0.9,10,10,0.49333
0.9,20,10,0.50333
0.9,30,10,0.48
0.9,40,10,0.43
0.9,50,10,0.44667
0.9,60,10,0.38333
0.9,70,10,0.50667
0.9,80,10,0.42333
0.9,90,10,0.38667
0.9,100,10,0.42667
1.0,10,10,0.53667
1.0,20,10,0.50667
1.0,30,10,0.49
1.0,40,10,0.52667
1.0,50,10,0.50667
1.0,60,10,0.48
1.0,70,10,0.48333
1.0,80,10,0.48333
1.0,90,10,0.48
1.0,100,10,0.48667
